FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2014-01-01,3.21,204.4,15.0,3.4,1.8
2014-01-02,3.21,2.0,10.09,6.56,7.28
2014-01-03,3.21,3.1,20.2,2.6,1.4
2014-01-04,3.21,24.6,10.09,8.5,37.7
2014-01-05,3.21,49.0,7.1,6.56,7.28
2014-01-06,3.21,24.27,3.0,19.4,15.2
2014-01-07,3.21,27.9,9.0,15.0,20.4
2014-01-08,3.21,3.2,0.6,8.4,6.6
2014-01-09,3.21,9.0,22.2,10.0,11.0
2014-01-10,3.21,64.0,24.3,9.2,20.8
2014-01-11,3.21,0.6,2.0,6.56,7.28
2014-01-12,3.21,24.27,0.3,6.56,7.28
2014-01-13,3.21,7.0,0.3,22.0,11.8
2014-01-14,3.21,0.0,0.2,6.56,7.28
2014-01-15,3.21,40.4,3.8,6.0,10.2
2014-01-16,3.21,77.6,2.0,20.2,14.4
2014-01-17,3.21,0.6,3.0,1.8,14.0
2014-01-18,3.21,45.6,17.6,7.0,3.0
2014-01-19,3.21,3.4,0.3,8.0,10.0
2014-01-20,3.21,19.4,34.6,9.0,20.0
2014-01-21,3.21,2.4,8.7,3.8,3.4
2014-01-22,3.21,84.6,6.7,0.2,7.28
2014-01-23,3.21,3.6,15.3,15.4,8.0
2014-01-24,3.21,1.4,10.09,6.56,7.28
2014-01-25,0.3,24.27,12.3,7.2,2.4
2014-01-26,63.1,32.4,2.8,6.56,7.28
2014-01-27,1.2,1.0,7.3,10.4,4.8
2014-01-28,0.7,24.27,3.8,6.56,7.28
2014-01-29,10.1,38.4,27.1,7.0,2.4
2014-01-30,18.7,1.2,49.4,6.0,4.5
2014-01-31,5.5,5.8,14.0,3.0,2.0
2014-02-01,3.2,0.2,15.4,25.3,4.3
2014-02-02,17.0,38.4,28.2,5.6,6.0
2014-02-03,0.5,7.6,5.2,9.77,4.5
2014-02-04,17.75,78.4,0.3,4.1,4.5
2014-02-05,2.2,8.6,13.4,9.77,4.5
