FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2008-01-01,3.8,6.6,12.8,10.0,0
2008-01-02,9.8,8.9,29.0,14.0,0
2008-01-03,14.0,40.4,15.0,6.0,0
2008-01-04,1.0,0.0,3.2,3.0,0
2008-01-05,2.4,13.5,0.0,9.0,0
2008-01-06,0.2,52.0,9.4,10.0,0
2008-01-07,14.2,52.7,50.6,14.0,0
2008-01-08,3.2,39.6,6.2,16.0,0
2008-01-09,12.8,15.5,13.6,12.0,0
2008-01-10,3.2,13.5,12.4,7.0,0
2008-01-11,22.41,90.4,20.2,9.0,0
2008-01-12,3.4,6.3,13.8,29.0,0
2008-01-13,0.0,0.0,0.0,26.0,0
2008-01-14,10.8,0.0,15.8,20.0,0
2008-01-15,4.8,3.4,7.6,26.0,0
2008-01-16,1.0,72.4,2.1,29.0,0
2008-01-17,0.0,57.0,5.2,15.0,0
2008-01-18,0.0,3.4,3.2,9.0,0
2008-01-19,0.0,75.2,2.7,4.0,0
2008-01-20,14.0,28.8,13.6,2.0,0
2008-01-21,0.4,0.2,8.1,6.0,0
2008-01-22,30.8,141.1,26.6,4.0,0
2008-01-23,35.8,106.0,30.8,2.0,0
2008-01-24,21.8,24.0,22.3,6.0,0
2008-01-25,3.2,138.0,17.8,5.0,0
2008-01-26,1.0,13.5,3.9,7.0,0
2008-01-27,22.2,80.3,71.0,9.0,0
2008-01-28,42.2,146.3,17.7,2.0,0
2008-01-29,7.5,0.5,15.0,2.0,0
2008-01-30,0.5,1.0,8.2,5.0,0
2008-01-31,2.0,12.7,1.3,2.0,0
2008-02-01,0.4,18.3,2.4,4.0,0
2008-02-02,8.0,15.7,6.2,2.0,0
2008-02-03,0.7,115.8,18.6,24.0,0
2008-02-04,1.7,27.4,8.4,38.0,0
2008-02-05,8.5,1.5,14.4,10.0,0
2008-02-06,5.2,25.0,10.2,4.0,0
2008-02-07,0.0,5.4,0.8,2.0,0
2008-02-08,0.0,0.2,0.0,0.0,0
2008-02-09,1.0,2.2,13.1,4.3,0
2008-02-10,2.5,1.0,3.4,2.0,0
2008-02-11,15.0,0.2,0.8,3.0,0
2008-02-12,16.1,24.4,23.0,33.0,0
2008-02-13,19.0,4.6,17.0,1.0,0
2008-02-14,0.0,0.0,0.0,1.0,0
2008-02-15,0.0,0.0,0.0,0.0,0
2008-02-16,0.0,0.0,0.8,0.0,0
2008-02-17,0.0,4.5,8.5,6.0,0
2008-02-18,34.0,46.6,30.1,15.0,0
2008-02-19,31.2,58.0,8.2,10.0,0
2008-02-20,0.0,22.2,0.6,6.4,0
2008-02-21,21.2,8.0,17.6,14.2,0
2008-02-22,34.5,19.2,76.0,14.0,0
2008-02-23,9.2,55.2,11.3,19.0,0
