Fecha,Kiteni,PS#1,PS#2,PS#3,PS#4,Mes
2023-01-01,2.54,21.7,1.5999999999999999,3.8,4.0,1
2023-01-02,1.0,2.7,0.6000000000000001,1.0,1.0,1
2023-01-03,7.62,0.0,0.6,1.6,2.0,1
2023-01-04,10.16,0.9,18.6,3.4,3.0,1
2023-01-05,35.56,6.3,17.8,25.4,24.0,1
2023-01-06,10.16,63.0,25.4,17.799999999999997,18.5,1
2023-01-07,0.0,0.0,0.2,0.76,1.0,1
2023-01-08,0.0,0.0,0.0,0.0,0.0,1
2023-01-09,17.78,2.3,14.0,0.17,4.3,1
2023-01-10,2.0,0.0,23.5,0.0,0.0,1
2023-01-11,0.0,2.1,0.0,0.0,0.0,1
2023-01-12,0.0,0.0,0.0,0.0,0.0,1
2023-01-13,33.02,2.0,9.0,0.0,0.0,1
2023-01-14,0.0,0.4,12.0,0.0,0.0,1
2023-01-15,5.08,6.8,4.4,15.2,12.0,1
2023-01-16,1.0,26.4,6.0,12.0,10.0,1
2023-01-17,0.0,4.4,0.0,0.0,0.0,1
2023-01-18,20.32,90.9,2.1,5.0,3.0,1
2023-01-19,17.78,35.800000000000004,23.8,24.9,23.0,1
2023-01-20,7.62,0.1,3.3,0.0,0.0,1
2023-01-21,0.0,4.2,13.7,10.2,8.0,1
2023-01-22,2.54,0.4,8.3,6.4,5.0,1
2023-01-23,3.0,25.4,10.0,0.0,0.0,1
2023-01-24,1.0,0.0,2.5,0.0,0.0,1
2023-01-25,25.0,5.4,16.5,5.59,6.0,1
2023-01-26,0.0,2.2,3.3,1.02,2.0,1
2023-01-27,27.94,24.7,24.0,7.37,8.0,1
2023-01-28,0.0,5.1,1.1,0.0,0.0,1
2023-01-29,0.0,15.5,0.0,6.6,6.0,1
2023-01-30,24.0,26.0,17.6,6.02,8.0,1
2023-01-31,0.0,35.1,6.4,3.5,4.0,1
2023-02-01,22.86,1.0,24.5,19.5,21.0,2
2023-02-02,17.78,2.0,15.5,24.1,26.0,2
2023-02-03,18.0,25.2,15.8,31.0,30.0,2
2023-02-04,7.62,15.8,4.5,6.6,6.0,2
2023-02-05,0.0,34.0,36.0,9.4,10.0,2
2023-02-06,2.0,0.8,17.0,1.1,1.9,2
2023-02-07,2.2,2.4,7.0,15.3,18.3,2
2023-02-08,3.1,0.0,10.0,1.7,3.8,2
2023-02-09,2.0,14.2,30.0,1.27,3.0,2
2023-02-10,0.0,7.0,0.0,1.78,3.8,2
2023-02-11,0.2,6.0,13.0,10.92,12.0,2
2023-02-12,0.0,17.8,1.0,4.6,6.1000000000000005,2
2023-02-13,0.0,0.0,0.0,6.56,7.0,2
2023-02-14,12.7,24.599999999999998,57.0,10.420000000000002,13.4,2
2023-02-15,7.699999999999999,64.2,26.0,11.42,15.8,2
2023-02-16,0.0,18.8,0.0,6.31,7.7,2
2023-02-17,0.0,0.2,7.4,4.07,5.8,2
2023-02-18,2.54,19.2,1.2,13.95,17.9,2
2023-02-19,4.0,15.0,16.6,0.0,0.0,2
2023-02-20,0.0,1.4,2.4,0.0,2.0,2
2023-02-21,0.0,0.2,0.0,0.0,0.0,2
2023-02-22,0.0,0.0,0.0,3.0,3.0,2
2023-02-23,0.2,38.6,0.0,3.0,3.0,2
2023-02-24,0.0,2.2,3.2,0.0,0.0,2
2023-02-25,6.3,0.2,20.4,2.0,2.0,2
2023-02-26,5.8,40.6,19.6,0.0,0.0,2
2023-02-27,0.1,0.0,20.0,3.0,3.0,2
2023-02-28,5.5,1.5,2.0,4.0,4.0,2
2023-03-01,0.0,0.0,0.0,0.0,0.0,3
2023-03-02,0.0,0.0,0.0,0.0,0.0,3
2023-03-03,0.0,0.0,0.0,0.0,0.0,3
2023-03-01,0.2,5.8,0.6,8.0,8.0,3
2023-03-02,1.0,0.8,3.6,0.0,0.0,3
2023-03-03,5.08,0.4,20.0,0.0,0.0,3
2023-03-04,0.0,23.7,6.4,0.0,0.0,3
2023-03-05,2.54,0.0,37.4,8.6,10.0,3
2023-03-06,22.86,17.8,16.5,4.3,5.0,3
2023-03-07,0.0,0.2,0.0,0.0,0.0,3
2023-03-08,0.0,0.0,2.2,0.0,0.0,3
2023-03-09,0.0,5.4,3.0,0.0,0.0,3
2023-03-10,27.94,29.200000000000003,13.8,2.54,3.5,3
2023-03-11,0.0,55.3,4.0,21.3,25.0,3
2023-03-12,7.62,4.3,8.8,9.4,11.0,3
2023-03-13,2.54,56.1,12.2,16.5,18.0,3
2023-03-14,0.0,2.8,0.2,2.79,5.0,3
2023-03-15,12.7,0.4,25.2,8.13,11.0,3
2023-03-16,10.16,4.7,16.4,0.0,0.0,3
2023-03-17,7.62,9.3,32.2,5.58,6.0,3
2023-03-18,0.0,3.0,13.2,6.6,8.0,3
2023-03-19,0.0,3.1,1.8,5.8,7.0,3
2023-03-20,7.62,1.3,29.0,2.79,6.0,3
2023-03-21,12.0,0.2,18.6,10.2,12.0,3
2023-03-22,4.0,0.1,12.4,0.0,0.0,3
2023-03-23,5.0,20.5,11.5,0.0,0.0,3
2023-03-24,2.4,29.4,10.5,24.8,26.0,3
2023-03-25,0.30000000000000004,14.600000000000001,3.2,34.0,36.2,3
2023-03-26,0.0,0.1,0.6000000000000001,20.8,24.0,3
2023-03-27,0.0,0.4,22.0,10.7,10.0,3
2023-03-28,0.0,25.5,11.200000000000001,0.0,0.0,3
2023-03-29,0.2,12.100000000000001,55.6,1.8,2.0,3
2023-03-30,2.0,0.3,17.2,6.4,8.0,3
2023-03-31,1.5,50.300000000000004,17.8,0.0,0.0,3
2023-04-01,1.7,0.0,0.6000000000000001,0.0,0.0,4
