FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2009-01-01,23.2,102.0,18.2,19.0,0
2009-01-02,1.1,7.2,0.0,11.0,0
2009-01-03,8.2,0.0,7.0,7.0,0
2009-01-04,23.2,23.7,30.2,11.0,0
2009-01-05,9.8,6.7,4.7,22.0,0
2009-01-06,7.0,1.3,3.4,15.0,0
2009-01-07,2.0,0.0,0.0,20.0,0
2009-01-08,12.6,85.0,15.0,16.0,0
2009-01-09,5.2,48.5,35.4,4.0,0
2009-01-10,16.4,6.1,18.0,7.0,0
2009-01-11,1.4,18.0,16.0,22.0,0
2009-01-12,3.2,1.3,1.3,12.0,0
2009-01-13,0.0,15.4,1.2,17.0,0
2009-01-14,19.8,0.4,18.4,19.0,0
2009-01-15,0.0,0.0,1.0,8.0,0
2009-01-16,15.8,0.3,17.2,2.0,0
2009-01-17,29.6,26.5,28.2,7.0,0
2009-01-18,13.8,112.3,2.6,13.0,0
2009-01-19,50.8,23.6,18.8,12.0,0
2009-01-20,21.4,7.6,10.4,9.0,0
2009-01-21,18.2,11.7,2.7,7.0,0
2009-01-22,0.0,0.2,0.0,9.0,0
2009-01-23,0.0,0.2,0.0,15.0,0
2009-01-24,2.8,9.3,10.0,16.5,0
2009-01-25,6.2,0.0,6.0,2.1,0
2009-01-26,1.2,40.2,5.4,8.2,0
2009-01-27,0.3,11.3,0.0,14.0,0
2009-01-28,36.5,9.4,27.8,3.5,0
2009-01-29,10.6,0.0,20.8,23.0,0
2009-01-30,0.0,41.3,3.0,3.0,0
2009-01-31,4.4,29.3,3.9,10.0,0
2009-02-01,0.0,0.3,0.7,20.0,0
2009-02-02,15.2,11.3,27.8,42.0,0
2009-02-03,1.0,2.7,40.8,27.0,0
2009-02-04,3.4,7.6,72.7,18.0,0
2009-02-05,3.1,35.3,7.4,14.0,0
2009-02-06,15.2,12.3,4.0,10.0,0
2009-02-07,11.0,0.4,9.6,20.0,0
2009-02-08,2.6,4.3,2.7,21.0,0
2009-02-09,10.8,35.7,6.2,28.0,0
2009-02-10,25.4,38.4,24.4,14.0,0
2009-02-11,19.4,38.7,39.4,32.0,0
2009-02-12,0.2,2.5,1.2,14.0,0
2009-02-13,12.8,24.3,29.2,30.0,0
2009-02-14,2.5,17.5,7.4,26.0,0
2009-02-15,27.2,11.6,28.0,30.0,0
2009-02-16,7.6,39.1,8.0,30.0,0
2009-02-17,38.8,7.1,29.7,36.0,0
2009-02-18,0.6,5.3,3.8,38.0,0
2009-02-19,0.0,0.3,0.3,30.0,0
2009-02-20,0.4,0.0,6.5,22.0,0
2009-02-21,32.0,7.4,20.6,22.0,0
2009-02-22,20.2,24.6,21.0,40.0,0
