FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2012-01-01,13.53,28.6,1.4,7.07,0.0
2012-01-02,10.5,34.0,0.4,2.6,0.0
2012-01-03,13.5,1.3,20.5,6.6,0.0
2012-01-04,1.0,81.8,24.6,7.07,0.0
2012-01-05,3.0,20.8,4.7,9.8,0.0
2012-01-06,13.53,0.0,4.7,1.6,0.0
2012-01-07,34.0,62.4,46.7,14.0,0.0
2012-01-08,36.5,35.4,8.7,7.07,0.0
2012-01-09,13.53,33.95,0.1,7.07,0.0
2012-01-10,9.4,251.2,7.2,2.0,0.0
2012-01-11,6.5,275.2,48.5,2.0,0.0
2012-01-12,13.53,7.4,0.4,2.8,0.0
2012-01-13,27.0,26.3,25.5,28.0,0.0
2012-01-14,52.0,39.9,44.6,5.9,0.0
2012-01-15,15.0,20.2,27.6,6.0,0.0
2012-01-16,1.0,2.0,0.8,1.5,0.0
2012-01-17,13.53,0.2,2.8,2.0,0.0
2012-01-18,22.0,0.2,15.7,7.07,0.0
2012-01-19,1.3,29.9,1.0,2.0,0.0
2012-01-20,6.0,33.95,4.6,28.0,0.0
2012-01-21,26.5,33.95,19.4,1.3,0.0
2012-01-22,0.6,33.95,15.7,2.0,0.0
2012-01-23,5.5,9.8,31.1,8.0,0.0
2012-01-24,2.4,29.6,0.4,2.3,0.0
2012-01-25,14.1,71.8,31.0,10.3,0.0
2012-01-26,37.7,0.6,31.5,6.3,0.0
2012-01-27,13.53,0.5,3.2,8.2,0.0
2012-01-28,1.2,2.0,15.7,28.6,0.0
2012-01-29,79.1,9.5,46.2,33.4,0.0
2012-01-30,3.4,4.0,7.2,1.9,0.0
2012-01-31,10.5,8.1,42.2,2.2,0.0
2012-02-01,16.12,12.1,0.4,2.0,0.0
2012-02-02,2.5,58.5,3.2,5.2,0.0
2012-02-03,2.0,68.1,5.0,3.2,0.0
2012-02-04,10.0,71.8,61.4,14.0,0.0
2012-02-05,1.0,0.4,1.0,7.0,0.0
2012-02-06,46.0,43.3,12.6,31.2,0.0
2012-02-07,27.5,2.0,28.7,25.6,0.0
2012-02-08,15.5,2.6,12.2,19.6,0.0
2012-02-09,16.12,23.56,0.0,4.0,0.0
2012-02-10,23.5,23.56,39.4,10.8,0.0
2012-02-11,46.0,33.8,39.0,23.0,0.0
2012-02-12,2.0,8.9,2.5,11.0,0.0
2012-02-13,22.0,8.4,29.8,4.6,0.0
2012-02-14,2.6,0.7,4.6,14.4,0.0
2012-02-15,59.5,72.6,72.6,6.0,0.0
2012-02-16,2.1,22.5,2.3,30.0,0.0
2012-02-17,14.7,14.7,14.0,13.2,0.0
2012-02-18,22.1,22.0,26.0,18.4,0.0
2012-02-19,41.5,18.3,33.8,36.2,0.0
2012-02-20,3.0,14.3,4.8,16.4,0.0
2012-02-21,1.9,13.9,1.2,11.2,0.0
2012-02-22,31.9,36.2,49.4,10.8,0.0
2012-02-23,1.9,2.5,3.4,5.0,0.0
2012-02-24,26.4,2.4,30.4,16.2,0.0
2012-02-25,4.2,21.3,1.3,8.4,0.0
2012-02-26,37.1,72.3,44.6,13.54,0.0
2012-02-27,18.6,56.7,15.3,10.8,0.0
