Fecha,Obrador Kiteni,PS#1,KP 007+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 184+039,PS#3,PS#4/XV10007,Mes,KP 127+000,KP 181+900,KP 142+000,Ruptura
2023-01-29,0.0,15.5,6.2,19.5,8.1,8.0,0,42.0,17.8,0.0,3.0,5.2,8.2,0.0,0.0,0.0,0,6.6,6.0,2023-01,,,,0
2023-01-30,24.0,26.0,71.6,68.0,75.0,78.0,0,130.0,28.0,22.0,19.0,34.2,13.2,0.0,0.0,17.6,0,6.02,8.0,2023-01,,,,0
2023-01-31,0.0,35.1,21.2,20.0,10.5,12.0,0,45.1,18.0,15.0,8.0,8.2,15.2,0.0,0.0,6.4,0,3.5,4.0,2023-01,,,,0
2023-02-01,22.86,1.0,3.1,5.0,15.5,53.0,0,192.0,24.0,55.0,57.0,40.2,17.2,0.0,0.0,24.5,0,19.5,21.0,2023-02,0.0,,,0
2023-02-02,17.78,2.0,0.0,6.0,18.0,28.0,0,142.0,65.0,34.0,61.0,87.60000000000001,59.0,0.0,0.0,15.5,0,24.1,26.0,2023-02,0.0,,,0
2023-02-03,18.0,25.2,42.2,36.5,110.0,144.0,0,352.0,70.0,55.0,84.0,61.4,21.2,0.0,0.0,15.8,0,31.0,30.0,2023-02,0.0,,,0
2023-02-04,7.62,15.8,13.2,6.0,9.5,12.0,0,30.0,30.0,22.0,18.0,12.4,12.1,0.0,0.0,4.5,0,6.6,6.0,2023-02,0.0,,,0
2023-02-05,0.0,34.0,33.0,6.0,24.0,15.0,0,60.7,4.0,10.0,20.0,18.2,6.2,0.0,0.0,36.0,0,9.4,10.0,2023-02,0.0,,,0
2023-02-06,2.0,0.8,3.2,0.0,0.0,1.0,0,65.2,31.0,38.0,17.0,11.5,0.0,0.0,0.0,17.0,0,1.1,1.9,2023-02,0.0,,,0
2023-02-07,2.2,2.4,5.3,4.0,22.5,24.0,0,35.5,6.0,4.0,3.0,2.0,3.5,0.0,0.0,7.0,0,15.3,18.3,2023-02,0.0,,,0
2023-02-08,3.1,0.0,0.0,0.0,6.0,78.0,0,130.4,33.0,20.0,14.0,6.0,4.3,0.0,0.0,10.0,0,1.7,3.8,2023-02,0.0,,,0
2023-02-09,2.0,14.2,18.1,25.1,62.5,50.0,0,125.8,18.0,23.0,30.0,15.4,13.4,0.0,0.0,30.0,0,1.27,3.0,2023-02,0.0,,,0
2023-02-10,0.0,7.0,3.2,4.0,1.5,8.0,0,25.0,0.0,2.0,5.0,2.0,2.2,0.0,0.0,0.0,0,1.78,3.8,2023-02,0.0,,,0
2023-02-11,0.2,6.0,9.3,37.0,42.0,70.0,0,30.0,28.0,55.0,25.0,22.0,18.0,0.0,0.0,13.0,0,10.92,12.0,2023-02,0.0,,,0
2023-02-12,0.0,17.8,7.2,11.0,13.0,8.0,0,2.1,8.0,0.0,6.8,2.4,6.2,0.0,0.0,1.0,0,4.6,6.1000000000000005,2023-02,0.0,,,0
2023-02-13,0.0,0.0,6.1,16.5,2.5,3.0,0,10.3,10.0,0.0,41.0,16.0,8.2,0.0,0.0,0.0,0,6.56,7.0,2023-02,0.0,,,0
2023-02-14,12.7,24.599999999999998,52.4,42.0,99.0,112.0,0,92.0,65.0,34.0,15.399999999999999,14.0,25.2,0.0,0.0,57.0,0,10.420000000000002,13.4,2023-02,0.0,,,0
2023-02-15,7.699999999999999,64.2,117.4,23.0,18.0,28.0,0,24.1,35.0,62.0,30.2,31.0,37.6,0.0,0.0,26.0,0,11.42,15.8,2023-02,0.0,,,0
2023-02-16,0.0,18.8,3.2,3.5,3.0,5.1,0,4.0,3.0,12.5,4.2,0.0,0.0,0.0,0.0,0.0,0,6.31,7.7,2023-02,0.0,,,0
2023-02-17,0.0,0.2,0.0,6.5,54.0,3.0,0,8.0,28.0,39.599999999999994,7.4,5.0,4.2,0.0,0.0,7.4,0,4.07,5.8,2023-02,0.0,,,0
2023-02-18,2.54,19.2,39.8,29.3,16.0,10.4,0,21.0,20.0,49.4,18.4,21.0,7.4,0.0,0.0,1.2,0,13.95,17.9,2023-02,0.0,,,0
2023-02-19,4.0,15.0,17.8,29.5,12.3,6.4,0,18.8,15.0,18.5,21.2,6.0,16.4,0.0,0.0,16.6,0,0.0,0.0,2023-02,0.0,,,0
2023-02-20,0.0,1.4,0.0,10.4,0.0,1.2,0,1.0,15.2,7.4,2.4,0.0,0.0,0.0,0.0,2.4,0,0.0,2.0,2023-02,0.0,,,0
2023-02-21,0.0,0.2,0.0,0.0,5.0,2.7,0,14.0,7.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-02,0.0,,,0
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,2023-02,0.0,,,0
2023-02-23,0.2,38.6,23.3,10.8,33.0,34.6,0,32.0,6.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,2023-02,0.0,,,0
2023-02-24,0.0,2.2,1.2,4.7,7.0,13.2,0,27.0,7.0,0.0,0.4,0.0,0.0,0.0,0.0,3.2,0,0.0,0.0,2023-02,0.0,,,0
2023-02-25,6.3,0.2,0.0,2.6,18.0,40.3,0,122.0,26.0,6.3,27.2,39.0,12.0,0.0,0.0,20.4,0,2.0,2.0,2023-02,0.0,,,0
2023-02-26,5.8,40.6,25.0,24.0,81.0,80.7,0,124.0,98.0,96.2,22.8,18.0,22.8,0.0,0.0,19.6,0,0.0,0.0,2023-02,0.0,,,0
2023-02-27,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,6.0,6.0,2.6,0.0,0.0,20.0,0,3.0,3.0,2023-02,0.0,,,0
2023-02-28,5.5,1.5,2.0,6.0,4.0,2.8,0,3.0,8.0,6.2,6.2,12.0,2.4,0.0,0.0,2.0,0,4.0,4.0,2023-02,0.0,,,0
2023-03-01,0.2,5.8,42.0,31.5,3.0,6.0,0,18.0,10.0,6.2,11.2,4.0,0.0,0.0,0.0,0.6,0,8.0,8.0,2023-03,0.0,,,0
2023-03-02,1.0,0.8,0.0,0.0,0.0,10.1,0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0,0.0,0.0,2023-03,0.0,,,0
