Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2020-01-26,16.4,6.8,0.0,20.900000000000002,9.4,14.2,5.4,10.0,4.1,16.2,39.2,4.2,5.2,17.2,8.0,18.8,15.0,16.4,0.0,0.0,0.0,2020-01,0
2020-01-27,2.0,9.0,0.0,17.6,29.599999999999998,86.3,112.60000000000001,110.0,126.5,74.3,42.4,6.4,15.0,39.4,36.6,6.0,0.2,0.0,0.0,0.0,0.0,2020-01,0
2020-01-28,5.6,0.0,0.0,19.8,21.4,18.3,9.4,16.0,12.7,13.0,11.0,4.0,9.5,3.4,4.6,4.8,22.2,0.0,0.0,0.0,0.0,2020-01,0
2020-01-29,12.2,0.0,0.0,34.5,74.0,101.2,97.60000000000001,58.0,23.1,17.7,19.6,18.0,15.1,0.0,14.6,32.2,12.4,0.0,0.0,0.0,0.0,2020-01,0
2020-01-30,4.0,0.0,0.0,80.0,44.599999999999994,69.7,57.6,73.0,68.2,73.2,53.4,22.3,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01,0
2020-01-31,22.0,0.0,0.0,18.0,23.4,10.2,8.0,6.0,0.0,6.0,4.4,3.2,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01,0
2021-02-01,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,2021-02,0
2021-02-02,0.0,0.0,1.6,20.0,8.4,24.4,46.2,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,6.2,0.0,2021-02,0
2021-02-03,0.0,0.0,0.0,0.3,18.4,2.4,0.0,0.0,0.0,32.4,0.0,0.0,6.4,0.0,4.2,0.0,1.1,0.0,0.0,18.6,9.2,2021-02,0
2021-02-04,0.0,0.0,22.0,33.599999999999994,0.0,70.2,39.0,45.9,0.0,0.0,0.0,0.0,28.599999999999998,0.0,36.5,54.8,1.4000000000000001,0.0,0.0,16.4,2.6,2021-02,0
2021-02-05,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,16.0,18.6,2021-02,0
2021-02-06,0.0,0.0,0.0,9.6,0.0,0.0,15.0,23.2,0.0,10.0,0.0,0.0,22.0,0.0,23.2,17.7,3.0,0.0,0.0,2.0,9.2,2021-02,0
2021-02-07,0.0,0.0,7.0,0.0,0.0,0.0,25.5,34.4,0.0,2.0,0.0,0.0,14.0,0.0,21.2,10.0,0.2,0.0,0.0,0.0,0.0,2021-02,0
2021-02-08,0.0,0.0,14.0,17.2,12.600000000000001,18.8,20.3,12.0,0.0,1.0,0.0,0.0,27.0,0.0,24.3,37.1,1.2,0.0,0.0,22.06,4.8,2021-02,0
2021-02-09,0.0,0.0,0.0,0.0,0.0,8.7,27.6,1.9000000000000001,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,2021-02,0
2021-02-10,0.0,0.0,20.0,27.7,28.5,27.0,34.0,26.0,7.199999999999999,5.0,0.0,0.0,22.4,0.0,19.2,40.2,2.2,0.0,0.0,19.2,12.799999999999999,2021-02,0
2021-02-11,0.0,0.0,38.0,38.400000000000006,38.6,4.0,35.7,18.6,26.2,26.0,0.0,0.0,2.2,0.0,6.1,9.0,0.7,0.0,0.0,39.4,16.4,2021-02,0
2021-02-12,0.0,0.0,9.0,5.8,39.0,1.0,19.1,4.0,42.0,32.5,0.0,0.0,4.5,0.0,5.5,9.3,1.5,0.0,0.0,12.8,12.0,2021-02,0
2021-02-13,0.0,0.0,73.0,51.1,33.0,25.0,35.5,62.0,17.0,31.0,0.0,0.0,16.7,0.0,20.4,23.7,2.0,0.0,0.0,2.6,2.6,2021-02,0
2021-02-14,0.0,23.9,40.0,54.599999999999994,40.0,42.0,35.1,0.0,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,0.0,22.0,2021-02,0
2021-02-15,0.0,59.800000000000004,97.0,79.0,0.0,25.0,57.1,0.0,27.0,21.0,0.0,0.0,0.0,0.0,15.0,13.6,15.0,0.0,0.0,2.6,12.0,2021-02,0
2021-02-16,0.0,4.0,12.0,10.0,0.0,5.0,3.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,0.0,0.0,12.6,18.4,2021-02,0
2021-02-17,0.0,10.4,22.0,25.2,0.0,24.0,125.1,0.0,18.0,7.0,0.0,0.0,36.0,26.3,32.0,5.3,29.0,0.0,0.0,2.0,8.4,2021-02,0
2021-02-18,0.0,6.4,8.0,10.4,0.0,155.0,196.0,80.2,60.0,25.0,0.0,0.0,33.0,9.5,7.0,12.4,6.5,0.0,0.0,0.0,0.0,2021-02,0
2021-02-19,0.0,5.2,10.0,21.900000000000002,0.0,56.0,86.0,4.8,0.0,24.0,0.0,0.0,2.0,4.5,8.0,6.3,1.0,0.0,0.0,4.6,12.4,2021-02,0
2021-02-20,0.0,17.4,17.0,18.0,0.0,75.0,76.8,0.0,0.0,0.0,0.0,3.0,3.0,4.0,9.0,1.0,0.0,0.0,0.0,8.6,2.8,2021-02,0
2021-02-21,0.0,8.6,8.0,43.2,8.0,11.0,7.0,24.6,0.0,26.0,0.0,2.0,2.5,2.0,6.0,3.0,1.0,17.0,0.0,16.2,8.8,2021-02,0
2021-02-22,0.0,36.6,24.0,15.2,12.0,6.2,10.2,12.4,0.0,7.0,0.0,6.0,8.0,1.5,1.0,1.5,1.3,14.6,0.0,12.4,6.2,2021-02,0
2021-02-23,0.0,24.799999999999997,27.0,3.0,6.5,5.0,4.8,12.200000000000001,19.0,20.5,0.0,0.0,2.0,8.0,9.0,5.6,21.0,6.4,0.0,2.4,2.0,2021-02,0
2021-02-24,0.0,21.599999999999998,46.0,0.0,12.2,4.0,6.2,4.0,7.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.2,12.2,0.0,12.0,8.2,2021-02,0
2021-02-25,0.0,0.4,0.0,0.0,0.0,0.0,0.6,12.8,12.0,4.0,0.0,2.0,0.0,0.0,0.0,4.4,9.9,4.2,0.0,14.6,0.0,2021-02,0
