FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2015-01-01,9.65,5.0,9.2,9.2,12.0
2015-01-02,9.0,17.6,1.8,11.4,19.6
2015-01-03,0.2,39.0,9.2,11.4,14.2
2015-01-04,42.5,82.5,41.2,2.4,1.7
2015-01-05,5.0,0.4,3.6,6.7,13.4
2015-01-06,0.7,10.2,1.0,7.96,10.0
2015-01-07,28.7,0.4,13.2,12.2,15.5
2015-01-08,1.5,26.6,18.2,8.0,8.0
2015-01-09,2.0,24.2,0.3,2.0,4.2
2015-01-10,8.5,1.6,2.0,25.4,8.0
2015-01-11,9.65,33.2,2.6,4.4,10.2
2015-01-12,28.7,5.8,11.0,1.6,3.2
2015-01-13,2.7,31.8,11.4,1.8,19.4
2015-01-14,1.9,22.6,2.6,0.2,0.2
2015-01-15,9.65,0.0,2.5,7.96,4.0
2015-01-16,22.1,68.4,14.1,7.96,7.87
2015-01-17,0.1,96.6,2.1,7.96,0.5
2015-01-18,46.1,22.0,35.8,2.0,2.2
2015-01-19,2.0,14.2,15.2,24.0,6.0
2015-01-20,15.2,49.5,13.4,7.96,7.0
2015-01-21,0.2,1.2,0.6,6.8,3.0
2015-01-22,0.6,21.0,10.7,3.0,2.1
2015-01-23,13.7,9.8,38.8,7.96,7.87
2015-01-24,2.4,7.1,68.8,7.1,6.3
2015-01-25,0.3,0.2,0.8,2.1,6.0
2015-01-26,24.9,31.5,8.2,11.0,16.0
2015-01-27,11.0,63.9,28.0,2.1,15.0
2015-01-28,4.0,91.2,13.0,36.2,9.5
2015-01-29,0.2,0.3,0.6,7.96,0.5
2015-01-30,9.65,5.1,8.3,5.5,7.87
2015-01-31,25.0,5.1,13.8,50.4,26.5
2015-02-01,28.0,25.2,31.8,11.7,6.5
2015-02-02,2.0,0.2,32.6,7.0,5.1
2015-02-03,2.0,1.0,0.1,0.6,3.2
2015-02-04,8.33,0.1,12.94,1.0,7.65
2015-02-05,8.33,83.5,1.2,0.4,7.65
2015-02-06,8.33,14.3,0.2,2.0,2.0
2015-02-07,32.0,49.7,25.7,2.0,5.0
2015-02-08,2.0,38.1,15.4,17.0,15.8
2015-02-09,1.7,0.9,1.3,4.0,1.0
2015-02-10,51.8,7.4,50.2,5.0,9.8
2015-02-11,10.7,0.0,10.9,30.2,24.5
2015-02-12,4.8,89.6,15.59,6.0,4.6
2015-02-13,0.5,5.0,12.94,6.6,7.4
2015-02-14,4.0,1.0,2.4,24.2,15.0
2015-02-15,4.0,6.0,27.0,10.0,28.8
2015-02-16,5.0,1.4,1.3,25.0,15.0
2015-02-17,12.0,2.3,11.0,12.6,8.0
2015-02-18,5.0,0.6,0.7,8.86,7.65
2015-02-19,3.3,2.8,12.94,8.86,7.65
2015-02-20,3.4,22.9,6.4,8.86,4.6
2015-02-21,16.2,19.0,17.7,2.8,7.65
2015-02-22,8.33,0.6,12.94,6.0,2.5
2015-02-23,0.1,26.2,12.94,3.2,2.8
2015-02-24,19.8,66.6,11.4,20.8,25.0
2015-02-25,5.7,17.0,60.9,30.8,11.8
2015-02-26,15.6,57.6,30.9,18.0,14.0
2015-02-27,0.3,0.2,1.0,8.86,1.8
2015-02-28,3.4,2.4,6.8,1.3,0.0
